1143, 17:2:52, 8, 42.330753, -104.701360, 15176.84, 59633.00, 27.25, 24.50, 6.75, 12, 12, 19, 3
1160, 17:3:9, 8, 42.330341, -104.699100, 15403.54, 59128.25, 27.25, 24.50, 6.19, 13, 11, 17, 1
1177, 17:3:26, 8, 42.329762, -104.696880, 15661.42, 58616.75, 27.25, 24.00, 5.56, 13, 8, 9, 2
1194, 17:3:43, 7, 42.329422, -104.694850, 15920.60, 58084.75, 27.25, 24.00, 5.00, 18, 16, 13, 3
1211, 17:4:0, 8, 42.328945, -104.692720, 16088.91, 57543.75, 27.25, 24.00, 4.81, 13, 12, 10, 3
1228, 17:4:17, 8, 42.328457, -104.690600, 16295.28, 57108.25, 27.25, 23.50, 4.31, 23, 14, 10, 2
1245, 17:4:34, 8, 42.328140, -104.688060, 16508.20, 56677.25, 27.25, 23.50, 3.81, 17, 13, 10, 2
1262, 17:4:51, 8, 42.327553, -104.685780, 16694.88, 56227.25, 27.19, 23.50, 3.56, 14, 14, 20, 5
1279, 17:5:8, 8, 42.327145, -104.683490, 16899.94, 55789.50, 27.19, 23.00, 3.06, 11, 12, 20, 2
1296, 17:5:25, 7, 42.326736, -104.681430, 17175.85, 55346.25, 27.19, 23.00, 2.38, 10, 21, 13, 2
1313, 17:5:42, 8, 42.326691, -104.679110, 17417.65, 54852.50, 27.19, 22.50, 2.00, 11, 18, 15, 2
1330, 17:5:59, 7, 42.326183, -104.676600, 17627.95, 54350.50, 27.13, 22.50, 1.50, 10, 13, 20, 2
1347, 17:6:16, 8, 42.325939, -104.674130, 17805.12, 53871.50, 27.13, 22.50, 1.19, 20, 16, 19, 5
1364, 17:6:33, 7, 42.325577, -104.672000, 18028.21, 53421.00, 27.13, 22.00, 0.50, 19, 19, 28, 2
1381, 17:6:50, 8, 42.325340, -104.669830, 18207.35, 52985.00, 27.13, 22.00, 0.56, 26, 23, 16, 7
1398, 17:7:7, 8, 42.325279, -104.667430, 18415.36, 52561.25, 27.06, 21.50, 0.06, 16, 23, 22, 3
